Timestamp,Annotator #1 Code,Annotator #2 Code,Story Code,Story Name,Plot Summary (25-50 words),Author Code,Second author code (if applicable),In what order are the investigation and reveal portions provided?,Name of Detective #1,Detective #1 Gender,Detective #1 Role,Name of Detective #2,Detective #2 Gender,Detective #2 Role,"More Than Two Detectives? (If yes, enter total number)",Name of Assistant #1,Assistant #1 Gender,Assistant #1 Role,Name of Assistant #2,Assistant #2 Gender,Assistant #2 Role,"More Than Two Assistants? (If yes, enter total number)",Number of victims of gender Male,Number of victims of gender Female,Number of victims of gender Non-binary,Number of victims of gender Unknown,Number of victims who are corporate entities,Number of culprits of gender Male,Number of culprits of gender Female,Number of culprits of gender Non-binary,Number of culprits of gender Unknown,Are one or more culprits introduced into the story only during the reveal?,The main culprit,Who initiates the detective's investigation?,What is the role of the police force in solving the crime?,The story's main action focuses on a,When do(es) the crime(s)/mystery being investigated occur?,Types of crimes or quasi-crimes present in story,Motives,Means (murder only),Does the story provide sufficient clues in sufficient detail to allow an alert reader to correctly guess the solution before the reveal?,Does the story provide sufficient clues in sufficient detail to allow an alert reader to definitively solve the crime before the reveal?,Did either annotator personally correctly guess the solution to the crime before the reveal?,Types of clues,What is the essential clue in the story (if present)?,Of what type is the essential clue (if present)?,What is the most salient clue in the story (if clues are present)?,Of what type is the most salient clue (if clues are present)?,Describe the main red herring (if present),Of what type is the main red herring (if present)?,Presence of planted or fabricated evidence,Types of evidence made available in the story,Is the crime solved?,"Does the detective pointedly and independently decide NOT to alert the authorities to the facts of the crime, despite the fact that an actionable crime has been committed?",Do you receive a satisfying narrative of account of the crime(s) in all their relevant details and a summary of the process by which the crime(s) are solved?,How satisfying is this story as a piece of detective fiction?,Would you recommend this story to a friend?,"Upload plain text file here, named as [STORY CODE].txt",Crime trajectory,"What is the ""reveal border"" sentence?"
2021-05-13T14:24:14Z,SO,CC,MSH10,The Naval Treaty,"An important Naval document is seemingly stolen from the man in charge of copying it, leaving the man in a state of dismay for nine long weeks. Sherlock Holmes is responsible for figuring out just who stole it and how this theft could have happened?",ACD,NA,Standard,Sherlock Holmes,Male,Independent amateur,NA,NA,NA,NA,John Watson,Male,Independent amateur,NA,NA,NA,NA,1,0,,,,1,0,0,0,No,Acts alone,A private client,"Police are present but with no role, or only a minor role, in helping solve the crime",Crime,"Before the investigation, During the investigation","Theft, Assault",Greed,NA,Yes,No,No,"Legible but not usable (legible → not usable), Usable in real time (usable → usable), Usable only in retrospect (legible → usable), Red herring (usable → legible), Ex post -- new clue (not mentioned → usable)",The burglar breaking in only on the day when the nurse was absent,Testimonial clue,The relatives of Phelps being shown around the office,Testimonial clue,The description of the commissionaire's wife (her presence at the scene),Testimonial clue,NA,"Testimonial evidence, Physical evidence",Yes,No,No,3,Yes,https://drive.google.com/open?id=1bzfE5IQiewG9NQm9iHsCM50NrTrQaLh-,Qrime → same qrime,"Phelps raised the cover, and as he did so he uttered a scream, and sat there staring with a face as white as the plate upon which he looked."
2021-05-13T14:31:38Z,SO,CC,MSH11,The Final Problem,"Sherlock Holmes is almost killed on three separate occasions, and must face the person responsible in an elaborate adventure, involving a criminal mastermind, his trustworthy partner Watson, and an intense final standoff.",ACD,NA,Reverse,Sherlock Holmes,Male,Independent amateur,NA,NA,NA,NA,John Watson,Male,Independent amateur,NA,NA,NA,NA,2,0,,,,1,0,0,0,No,Acts on behalf of a crime syndicate,The detective(s) themselves,"Police are present but with no role, or only a minor role, in helping solve the crime",Crime,"Before the investigation, During the investigation","Murder, Blackmail, Forgery","Pride, Crime-for-crime's-sake",Unknown,No,No,No,"Illegible and never usable (illegible → never usable), Legible but not usable (legible → not usable), Usable in real time (usable → usable), Usable only in retrospect (legible → usable)",The Letter calling for Watson's assistance,Physical clue,The attempted murders of Sherlock Holmes,Testimonial clue,NA,NA,NA,"Testimonial evidence, Physical evidence",No,No,No,1,Yes,https://drive.google.com/open?id=1HIPX5Fl_oUr0NEZG1MT4piiKO3DtL5o6,Qrime → same qrime,"It may be remembered that after my marriage, and my subsequent start in private practice, the very intimate relations which had existed between Holmes and myself became to some extent modified."
2021-05-13T14:38:13Z,SO,CC,RSH01,The Adventure of the Empty House,"A man is killed with no apparent motive or suspect, but new information arises with the reappearance of Sherlock Holmes.",ACD,NA,Standard,Sherlock Holmes,Male,Independent amateur,NA,NA,NA,NA,John Watson,Male,Independent amateur,NA,NA,NA,NA,2,0,,,,1,0,0,0,No,Acts alone,Unclear/not specified,"Police are present but with no role, or only a minor role, in helping solve the crime",Crime,"Before the investigation, During the investigation","Murder, Blackmail","Greed, Revenge",Firearm,No,No,Yes,"Legible but not usable (legible → not usable), Usable in real time (usable → usable), Usable only in retrospect (legible → usable), Ex post -- new clue (not mentioned → usable)",The wax figure of Holmes being shot,Physical clue,The type of bullet found at the crime scene,Physical clue,NA,NA,NA,"Testimonial evidence, Physical evidence",Yes,No,No,2,No,https://drive.google.com/open?id=1_qrcWiC_bnkmhzhp55gt8__UqNz9PssM,Qrime → different qrime,"We had all risen to our feet, our prisoner breathing hard, with a stalwart constable on each side of him."
2021-05-13T15:37:58Z,SO,WW,ASH04,The Boscombe Valley Mystery,"Sherlock Holmes and John Watson arrive at Boscombe Valley to investigate the seemingly unambiguous murder of a father by his son. Though all circumstantial evidence points towards the son, deeper histories and resentments are at work.",ACD,NA,Standard,Sherlock Holmes,Male,Independent amateur,NA,NA,NA,NA,John Watson,Male,Independent amateur,NA,NA,NA,NA,2,0,,,,2,0,0,0,No,Acts alone,The police,"Police are present but with no role, or only a minor role, in helping solve the crime",Crime,Before the investigation,"Murder, Theft, Blackmail","Revenge, Love, Pride",Blunt force trauma,Yes,No,Yes,"Usable in real time (usable → usable), Usable only in retrospect (legible → usable), Ex post -- new clue (not mentioned → usable), Ex post -- newly usable clue (illegible → usable)",Footprints with the limp,Physical clue,Longstanding relationship between Charles McCarthy and John Turner (esp. Australia connection),Testimonial clue,NA,NA,NA,"Testimonial evidence, Physical evidence",Yes,Yes,Yes,4,Yes,https://drive.google.com/open?id=1Pvnl9t3fFYf_ANTg6YUmQXAPKUT7AGPr,Qrime → same qrime,"“Look here, Watson,” he said when the cloth was cleared “just sit down in this chair and let me preach to you for a little."
2021-05-13T16:35:24Z,SK,WW,MSH07,The Crooked Man,"Colonel Barclay is found dead in a locked room, his wife insensible and the room key missing. Though the couple is supposedly the paragon of marital harmony, the servants report an argument right before the death, and accusations surrounding the name “David”.",ACD,NA,Standard,Sherlock Holmes,Male,Independent amateur,NA,NA,NA,NA,John Watson,Male,Independent amateur,NA,NA,NA,NA,1,1,,,,1,0,0,0,No,NA,A private client,"Police are present but with no role, or only a minor role, in helping solve the crime",NA,Before the investigation,"Suspected murder, Fraud, Assault, Kidnapping","Revenge, Jealousy","Natural causes, Accident",No,No,No,"Usable in real time (usable → usable), Usable only in retrospect (legible → usable), Ex post -- new clue (not mentioned → usable)","The missing key, which signals a third party in the room.",Physical clue,Barclay's devotion to his wife and uneasiness at her absence.,Testimonial clue,NA,NA,NA,"Testimonial evidence, Physical evidence",Yes,No,Yes,2,No,https://drive.google.com/open?id=1-m0yQ5OMqlN13HeMlKu-HJBJEmNhjG9F,Qrime → no qrime,It was a just providence that killed him.
2021-05-13T16:58:41Z,SK,WW,MSH08,The Resident Patient,"A cataleptic Russian count and his son consult Dr. Percy Trevelyan’s practice, suddenly making the doctor’s live-in sponsor unaccountably nervous. What history could be behind this suspicious reaction?",ACD,NA,Standard,Sherlock Holmes,Male,Independent amateur,NA,NA,NA,NA,John Watson,Male,Independent amateur,NA,NA,NA,NA,1,0,,,,3,0,0,0,No,Acts together with one or more equal partners,A private client,"Police are present but with no role, or only a minor role, in helping solve the crime",Crime,During the investigation,"Murder, Theft, Fraud, Breaking and entering",Revenge,Asphyxiation,Yes,No,Yes,"Usable in real time (usable → usable), Usable only in retrospect (legible → usable), Ex post -- newly usable clue (illegible → usable)","There are multiple different types of cigar ends in the victim's room, indicating multiple people present at the time of his death.",Physical clue,The victim's overly frightened reaction to footsteps in his room.,Testimonial clue,NA,NA,Fabricated,"Testimonial evidence, Physical evidence",Yes,No,Yes,3,No,https://drive.google.com/open?id=1rYR37ThucD_g7vC2bvnmY0ZQNeMMf1ow,No qrime → qrime,"This is no suicide, Mr. Lanner."
2021-05-13T17:20:56Z,SK,WW,MSH09,The Greek Interpreter,"At the Diogenes Club, a frequent haunt of Sherlock Holmes’ older brother Mycroft, a Greek interpreter regales Holmes and Watson with the story of an emaciated and bandaged man kept prisoner in a London house.",ACD,NA,Standard,Sherlock Holmes,Male,Independent amateur,NA,NA,NA,NA,John Watson,Male,Independent amateur,NA,NA,NA,NA,2,1,,,,2,0,0,0,No,Acts together with one or more equal partners,A private client,"Police are present but with no role, or only a minor role, in helping solve the crime",Crime,"Before the investigation, During the investigation","Murder, Fraud, Blackmail, Kidnapping, Assault","Greed, Revenge",Poison,Yes,No,Yes,"Legible but not usable (legible → not usable), Usable in real time (usable → usable)",The hidden questions and answers between the interpreter and the kidnapped man.,Testimonial clue,The hidden questions and answers between the interpreter and the kidnapped man.,Testimonial clue,NA,NA,NA,Testimonial evidence,Yes,No,Yes,2,No,https://drive.google.com/open?id=1FG-0qJeo_aX8GFfpTJnMWLaJI-SWDSFm,Qrime → same qrime,They seize him and use violence towards him in order to make him sign some papers to make over the girl's fortune—of which he may be trustee—to them.
2021-05-14T14:19:43Z,ZC,JM,MSH04,The “Gloria Scott”,"When a series of unexpected occurrences begin to unravel the health or Mr. Trevor and bring him closer to his demise, such as unexpected arrivals of previous acquaintances and vague letters arriving through the post, his son reaches out to Sherlock Holmes in hopes that certain questions can be answered.",ACD,NA,Standard,Sherlock Holmes,Male,Independent amateur,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28,0,,,,33,0,0,0,Yes,Acts alone,A private client,Police are not present,Crime,Before the investigation,"Murder, Theft, Blackmail, Assault","Greed, Revenge, Pride","Knife/sword, Firearm, Natural causes, Other",No,No,No,"Legible but not usable (legible → not usable), Usable in real time (usable → usable), Usable only in retrospect (legible → usable), Ex post -- new clue (not mentioned → usable), Ex post -- newly usable clue (illegible → usable)",Letter from the father to his son explaining his past,Physical clue,Strange behaviour of father after his encounters with Hudson,Testimonial clue,NA,NA,NA,"Testimonial evidence, Physical evidence",Yes,No,Yes,2,No,https://drive.google.com/open?id=1Cy3qI_eCvnioubqtWaU95cQ9VUPdFBVx,No qrime → qrime,"“‘My dear, dear son, now that approaching disgrace begins to darken the closing years of my life, I can write with all truth and honesty that it is not the terror of the law, it is not the loss of my position in the county, nor is it my fall in the eyes of all who have known me, which cuts me to the heart; but it is the thought that you should come to blush for me—you who love me and who have seldom, I hope, had reason to do other than respect me."""
2021-05-14T14:26:30Z,ZC,JM,MSH06,The Reigate Puzzle,"While Watson has taken Holmes to the countryside in hope that he will relax and recover from his depression, a theft followed by a murder in the neighborhood piques his curiosity.",ACD,NA,Standard,Sherlock Holmes,Male,Independent amateur,NA,NA,NA,NA,John Watson,Male,Independent amateur,NA,NA,NA,NA,2,0,,,,2,0,0,0,No,Acts together with one or more equal partners,The police,"Police are present but with no role, or only a minor role, in helping solve the crime",Crime,Before the investigation,"Murder, Theft, Breaking and entering",Pride,Firearm,Yes,No,No,"Legible but not usable (legible → not usable), Usable in real time (usable → usable), Usable only in retrospect (legible → usable), Red herring (usable → legible), Ex post -- new clue (not mentioned → usable), Ex post -- newly usable clue (illegible → usable)",-	Finding the remaining parts of paper inside Cunningham’s pocket,Physical clue,Small piece of note found in William’s hand,Physical clue,The idea was put into our minds early on that perhaps William aided the burglars,Testimonial clue,Planted,"Testimonial evidence, Physical evidence",Yes,No,Yes,5,Yes,https://drive.google.com/open?id=19ioLDyLsXWJMuqMeqOzc2I3gsRlAslYW,Qrime → different qrime,"The two Cunninghams were bending over the prostrate figure of Sherlock Holmes, the younger clutching his throat with both hands, while the elder seemed to be twisting one of his wrists. In an instant the three of us had torn them away from him, and Holmes staggered to his feet, very pale and evidently greatly exhausted."
2021-05-14T14:30:02Z,ZC,JM,MSH05,The Musgrave Ritual,"After the sudden disappearance of the womanizing butler and the temperamentally excitable second house-maid of the Musgraves, Reginald Musgrave reached out to Detective Sherlock Holmes in the hopes of finding answers.",ACD,NA,Standard,Sherlock Holmes,Male,Independent amateur,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,,,,1,1,0,0,No,Acts alone,A private client,"Police are present but with no role, or only a minor role, in helping solve the crime",Crime,Before the investigation,"Murder, Theft","Greed, Revenge, Jealousy","Natural causes, Other",Yes,No,No,"Legible but not usable (legible → not usable), Usable in real time (usable → usable), Usable only in retrospect (legible → usable), Ex post -- new clue (not mentioned → usable), Ex post -- newly usable clue (illegible → usable)","The clues hidden in the Musgrave Ritual document, which lead to the finding of the cellar",Physical clue,Behaviour of Rachel Howells (The second house-maid),Testimonial clue,NA,NA,NA,"Testimonial evidence, Physical evidence",Yes,No,Yes,4,Yes,https://drive.google.com/open?id=1aMzMUQQ1Nnygw5Y_GWjztYQ7P0OhwMVE,No qrime → qrime,"“I was already firmly convinced, Watson, that there were not three separate mysteries here, but one only, and that if I could read the Musgrave Ritual aright I should hold in my hand the clue which would lead me to the truth concerning both the butler Brunton and the maid Howells."""
2021-05-14T14:39:31Z,SK,JM,ASH03,A Case of Identity,Miss Sutherland asks Sherlock Holmes to find the man she was supposed to marry and who mysteriously disappeared on their wedding day after making her promise to never forget him. Holmes eventually discovers that the bridegroom was Miss Sutherland’s stepfather who had created this character to keep her stepdaughter from marrying to retain access to her money.,ACD,NA,Standard,Sherlock Holmes,Male,Independent amateur,NA,NA,NA,NA,John Watson,Male,Independent amateur,NA,NA,NA,NA,0,1,,,,1,1,0,0,No,Acts together with one or more equal partners,A private client,Police are not present,Quasi-crime,Before the investigation,"Suspected murder, Fraud",Greed,NA,Yes,Yes,No,"Legible but not usable (legible → not usable), Usable in real time (usable → usable), Usable only in retrospect (legible → usable), Ex post -- newly usable clue (illegible → usable)",the particularities of the typewriter,Physical clue,The fact that Mr.Hosmer Angel and Mr.Widibank were never at the same place at the same time.,Testimonial clue,NA,NA,Fabricated,"Testimonial evidence, Physical evidence",Yes,Yes,Yes,4,No,https://drive.google.com/open?id=1n6scC0jJ__zUp923EKrPteEvLB7Twf-f,Qrime → different qrime,"“I let you know, then, that I have caught him!”"
