Describe the main red herring (if present),How satisfying is this story as a piece of detective fiction?,Plot Summary (25-50 words),Assistant #1 Role,Of what type is the essential clue (if present)?,Story Code,Presence of planted or fabricated evidence,When do(es) the crime(s)/mystery being investigated occur?,In what order are the investigation and reveal portions provided?,"More Than Two Assistants? (If yes, enter total number)","What is the ""reveal border"" sentence?",Are one or more culprits introduced into the story only during the reveal?,Of what type is the main red herring (if present)?,Name of Detective #2,Types of evidence made available in the story,"More Than Two Detectives? (If yes, enter total number)",Detective #1 Role,Of what type is the most salient clue (if clues are present)?,Would you recommend this story to a friend?,Annotator #1 Code,Number of culprits of gender Unknown,Types of crimes or quasi-crimes present in story,Does the story provide sufficient clues in sufficient detail to allow an alert reader to correctly guess the solution before the reveal?,Annotator #2 Code,Did either annotator personally correctly guess the solution to the crime before the reveal?,Name of Assistant #1,Assistant #2 Role,Number of culprits of gender Non-binary,Types of clues,Number of culprits of gender Female,Name of Assistant #2,Author Code,Story Name,Detective #2 Gender,What is the essential clue in the story (if present)?,Number of culprits of gender Male,The main culprit,Number of victims of gender Female,Detective #1 Gender,"Does the detective pointedly and independently decide NOT to alert the authorities to the facts of the crime, despite the fact that an actionable crime has been committed?",Do you receive a satisfying narrative of account of the crime(s) in all their relevant details and a summary of the process by which the crime(s) are solved?,Is the crime solved?,Who initiates the detective's investigation?,What is the role of the police force in solving the crime?,Second author code (if applicable),Means (murder only),What is the most salient clue in the story (if clues are present)?,Does the story provide sufficient clues in sufficient detail to allow an alert reader to definitively solve the crime before the reveal?,Crime trajectory,Assistant #2 Gender,Motives,Detective #2 Role,Number of victims of gender Male,Assistant #1 Gender,The story's main action focuses on a,Name of Detective #1,Date of First Publication (YYYY-MM-DD),Format of First Publication (Journal or Book),Name of Journal or Title of Book,Surname(s),Given Name(s),Sex,publication_year,crime_trajectory
The description of the commissionaire's wife (her presence at the scene),3,"An important Naval document is seemingly stolen from the man in charge of copying it, leaving the man in a state of dismay for nine long weeks. Sherlock Holmes is responsible for figuring out just who stole it and how this theft could have happened?",Independent amateur,Testimonial clue,MSH10,NA,"Before the investigation, During the investigation",Standard,NA,"Phelps raised the cover, and as he did so he uttered a scream, and sat there staring with a face as white as the plate upon which he looked.",No,Testimonial clue,NA,"Testimonial evidence, Physical evidence",NA,Independent amateur,Testimonial clue,Yes,SO,0,"Theft, Assault",Yes,CC,No,John Watson,NA,0,"Legible but not usable (legible → not usable), Usable in real time (usable → usable), Usable only in retrospect (legible → usable), Red herring (usable → legible), Ex post -- new clue (not mentioned → usable)",0,NA,ACD,The Naval Treaty,NA,The burglar breaking in only on the day when the nurse was absent,1,Acts alone,0,Male,No,No,Yes,A private client,"Police are present but with no role, or only a minor role, in helping solve the crime",NA,NA,The relatives of Phelps being shown around the office,No,Qrime → same qrime,NA,Greed,NA,1,Male,Crime,Sherlock Holmes,1893-11-01 00:00:00+00:00,Journal,The Strand,Concan Doyle,Arthur,M,1893,Qrime_to_same_qrime
NA,1,"Sherlock Holmes is almost killed on three separate occasions, and must face the person responsible in an elaborate adventure, involving a criminal mastermind, his trustworthy partner Watson, and an intense final standoff.",Independent amateur,Physical clue,MSH11,NA,"Before the investigation, During the investigation",Reverse,NA,"It may be remembered that after my marriage, and my subsequent start in private practice, the very intimate relations which had existed between Holmes and myself became to some extent modified.",No,NA,NA,"Testimonial evidence, Physical evidence",NA,Independent amateur,Testimonial clue,Yes,SO,0,"Murder, Blackmail, Forgery",No,CC,No,John Watson,NA,0,"Illegible and never usable (illegible → never usable), Legible but not usable (legible → not usable), Usable in real time (usable → usable), Usable only in retrospect (legible → usable)",0,NA,ACD,The Final Problem,NA,The Letter calling for Watson's assistance,1,Acts on behalf of a crime syndicate,0,Male,No,No,No,The detective(s) themselves,"Police are present but with no role, or only a minor role, in helping solve the crime",NA,Unknown,The attempted murders of Sherlock Holmes,No,Qrime → same qrime,NA,"Pride, Crime-for-crime's-sake",NA,2,Male,Crime,Sherlock Holmes,1893-12-01 00:00:00+00:00,Journal,The Strand,Concan Doyle,Arthur,M,1893,Qrime_to_same_qrime
NA,2,"A man is killed with no apparent motive or suspect, but new information arises with the reappearance of Sherlock Holmes.",Independent amateur,Physical clue,RSH01,NA,"Before the investigation, During the investigation",Standard,NA,"We had all risen to our feet, our prisoner breathing hard, with a stalwart constable on each side of him.",No,NA,NA,"Testimonial evidence, Physical evidence",NA,Independent amateur,Physical clue,No,SO,0,"Murder, Blackmail",No,CC,Yes,John Watson,NA,0,"Legible but not usable (legible → not usable), Usable in real time (usable → usable), Usable only in retrospect (legible → usable), Ex post -- new clue (not mentioned → usable)",0,NA,ACD,The Adventure of the Empty House,NA,The wax figure of Holmes being shot,1,Acts alone,0,Male,No,No,Yes,Unclear/not specified,"Police are present but with no role, or only a minor role, in helping solve the crime",NA,Firearm,The type of bullet found at the crime scene,No,Qrime → different qrime,NA,"Greed, Revenge",NA,2,Male,Crime,Sherlock Holmes,1903-09-26 00:00:00+00:00,Journal,Collier's Weekly,Concan Doyle,Arthur,M,1903,Qrime_to_different_qrime
NA,4,"Sherlock Holmes and John Watson arrive at Boscombe Valley to investigate the seemingly unambiguous murder of a father by his son. Though all circumstantial evidence points towards the son, deeper histories and resentments are at work.",Independent amateur,Physical clue,ASH04,NA,Before the investigation,Standard,NA,"“Look here, Watson,” he said when the cloth was cleared “just sit down in this chair and let me preach to you for a little.",No,NA,NA,"Testimonial evidence, Physical evidence",NA,Independent amateur,Testimonial clue,Yes,SO,0,"Murder, Theft, Blackmail",Yes,WW,Yes,John Watson,NA,0,"Usable in real time (usable → usable), Usable only in retrospect (legible → usable), Ex post -- new clue (not mentioned → usable), Ex post -- newly usable clue (illegible → usable)",0,NA,ACD,The Boscombe Valley Mystery,NA,Footprints with the limp,2,Acts alone,0,Male,Yes,Yes,Yes,The police,"Police are present but with no role, or only a minor role, in helping solve the crime",NA,Blunt force trauma,Longstanding relationship between Charles McCarthy and John Turner (esp. Australia connection),No,Qrime → same qrime,NA,"Revenge, Love, Pride",NA,2,Male,Crime,Sherlock Holmes,1891-10-01 00:00:00+00:00,Journal,The Strand,Concan Doyle,Arthur,M,1891,Qrime_to_same_qrime
NA,2,"Colonel Barclay is found dead in a locked room, his wife insensible and the room key missing. Though the couple is supposedly the paragon of marital harmony, the servants report an argument right before the death, and accusations surrounding the name “David”.",Independent amateur,Physical clue,MSH07,NA,Before the investigation,Standard,NA,It was a just providence that killed him.,No,NA,NA,"Testimonial evidence, Physical evidence",NA,Independent amateur,Testimonial clue,No,SK,0,"Suspected murder, Fraud, Assault, Kidnapping",No,WW,No,John Watson,NA,0,"Usable in real time (usable → usable), Usable only in retrospect (legible → usable), Ex post -- new clue (not mentioned → usable)",0,NA,ACD,The Crooked Man,NA,"The missing key, which signals a third party in the room.",1,NA,1,Male,No,Yes,Yes,A private client,"Police are present but with no role, or only a minor role, in helping solve the crime",NA,"Natural causes, Accident",Barclay's devotion to his wife and uneasiness at her absence.,No,Qrime → no qrime,NA,"Revenge, Jealousy",NA,1,Male,NA,Sherlock Holmes,1893-07-01 00:00:00+00:00,Journal,The Strand,Concan Doyle,Arthur,M,1893,Qrime_to_no_qrime
NA,3,"A cataleptic Russian count and his son consult Dr. Percy Trevelyan’s practice, suddenly making the doctor’s live-in sponsor unaccountably nervous. What history could be behind this suspicious reaction?",Independent amateur,Physical clue,MSH08,Fabricated,During the investigation,Standard,NA,"This is no suicide, Mr. Lanner.",No,NA,NA,"Testimonial evidence, Physical evidence",NA,Independent amateur,Testimonial clue,No,SK,0,"Murder, Theft, Fraud, Breaking and entering",Yes,WW,Yes,John Watson,NA,0,"Usable in real time (usable → usable), Usable only in retrospect (legible → usable), Ex post -- newly usable clue (illegible → usable)",0,NA,ACD,The Resident Patient,NA,"There are multiple different types of cigar ends in the victim's room, indicating multiple people present at the time of his death.",3,Acts together with one or more equal partners,0,Male,No,Yes,Yes,A private client,"Police are present but with no role, or only a minor role, in helping solve the crime",NA,Asphyxiation,The victim's overly frightened reaction to footsteps in his room.,No,No qrime → qrime,NA,Revenge,NA,1,Male,Crime,Sherlock Holmes,1893-08-01 00:00:00+00:00,Journal,The Strand,Concan Doyle,Arthur,M,1893,No_qrime_to_qrime
NA,2,"At the Diogenes Club, a frequent haunt of Sherlock Holmes’ older brother Mycroft, a Greek interpreter regales Holmes and Watson with the story of an emaciated and bandaged man kept prisoner in a London house.",Independent amateur,Testimonial clue,MSH09,NA,"Before the investigation, During the investigation",Standard,NA,They seize him and use violence towards him in order to make him sign some papers to make over the girl's fortune—of which he may be trustee—to them.,No,NA,NA,Testimonial evidence,NA,Independent amateur,Testimonial clue,No,SK,0,"Murder, Fraud, Blackmail, Kidnapping, Assault",Yes,WW,Yes,John Watson,NA,0,"Legible but not usable (legible → not usable), Usable in real time (usable → usable)",0,NA,ACD,The Greek Interpreter,NA,The hidden questions and answers between the interpreter and the kidnapped man.,2,Acts together with one or more equal partners,1,Male,No,Yes,Yes,A private client,"Police are present but with no role, or only a minor role, in helping solve the crime",NA,Poison,The hidden questions and answers between the interpreter and the kidnapped man.,No,Qrime → same qrime,NA,"Greed, Revenge",NA,2,Male,Crime,Sherlock Holmes,1893-09-01 00:00:00+00:00,Journal,The Strand,Concan Doyle,Arthur,M,1893,Qrime_to_same_qrime
NA,2,"When a series of unexpected occurrences begin to unravel the health or Mr. Trevor and bring him closer to his demise, such as unexpected arrivals of previous acquaintances and vague letters arriving through the post, his son reaches out to Sherlock Holmes in hopes that certain questions can be answered.",NA,Physical clue,MSH04,NA,Before the investigation,Standard,NA,"“‘My dear, dear son, now that approaching disgrace begins to darken the closing years of my life, I can write with all truth and honesty that it is not the terror of the law, it is not the loss of my position in the county, nor is it my fall in the eyes of all who have known me, which cuts me to the heart; but it is the thought that you should come to blush for me—you who love me and who have seldom, I hope, had reason to do other than respect me.""",Yes,NA,NA,"Testimonial evidence, Physical evidence",NA,Independent amateur,Testimonial clue,No,ZC,0,"Murder, Theft, Blackmail, Assault",No,JM,No,NA,NA,0,"Legible but not usable (legible → not usable), Usable in real time (usable → usable), Usable only in retrospect (legible → usable), Ex post -- new clue (not mentioned → usable), Ex post -- newly usable clue (illegible → usable)",0,NA,ACD,The “Gloria Scott”,NA,Letter from the father to his son explaining his past,33,Acts alone,0,Male,No,Yes,Yes,A private client,Police are not present,NA,"Knife/sword, Firearm, Natural causes, Other",Strange behaviour of father after his encounters with Hudson,No,No qrime → qrime,NA,"Greed, Revenge, Pride",NA,28,NA,Crime,Sherlock Holmes,1893-04-01 00:00:00+00:00,Journal,The Strand,Concan Doyle,Arthur,M,1893,No_qrime_to_qrime
The idea was put into our minds early on that perhaps William aided the burglars,5,"While Watson has taken Holmes to the countryside in hope that he will relax and recover from his depression, a theft followed by a murder in the neighborhood piques his curiosity.",Independent amateur,Physical clue,MSH06,Planted,Before the investigation,Standard,NA,"The two Cunninghams were bending over the prostrate figure of Sherlock Holmes, the younger clutching his throat with both hands, while the elder seemed to be twisting one of his wrists. In an instant the three of us had torn them away from him, and Holmes staggered to his feet, very pale and evidently greatly exhausted.",No,Testimonial clue,NA,"Testimonial evidence, Physical evidence",NA,Independent amateur,Physical clue,Yes,ZC,0,"Murder, Theft, Breaking and entering",Yes,JM,No,John Watson,NA,0,"Legible but not usable (legible → not usable), Usable in real time (usable → usable), Usable only in retrospect (legible → usable), Red herring (usable → legible), Ex post -- new clue (not mentioned → usable), Ex post -- newly usable clue (illegible → usable)",0,NA,ACD,The Reigate Puzzle,NA,-	Finding the remaining parts of paper inside Cunningham’s pocket,2,Acts together with one or more equal partners,0,Male,No,Yes,Yes,The police,"Police are present but with no role, or only a minor role, in helping solve the crime",NA,Firearm,Small piece of note found in William’s hand,No,Qrime → different qrime,NA,Pride,NA,2,Male,Crime,Sherlock Holmes,1893-06-01 00:00:00+00:00,Journal,The Strand,Concan Doyle,Arthur,M,1893,Qrime_to_different_qrime
NA,4,"After the sudden disappearance of the womanizing butler and the temperamentally excitable second house-maid of the Musgraves, Reginald Musgrave reached out to Detective Sherlock Holmes in the hopes of finding answers.",NA,Physical clue,MSH05,NA,Before the investigation,Standard,NA,"“I was already firmly convinced, Watson, that there were not three separate mysteries here, but one only, and that if I could read the Musgrave Ritual aright I should hold in my hand the clue which would lead me to the truth concerning both the butler Brunton and the maid Howells.""",No,NA,NA,"Testimonial evidence, Physical evidence",NA,Independent amateur,Testimonial clue,Yes,ZC,0,"Murder, Theft",Yes,JM,No,NA,NA,0,"Legible but not usable (legible → not usable), Usable in real time (usable → usable), Usable only in retrospect (legible → usable), Ex post -- new clue (not mentioned → usable), Ex post -- newly usable clue (illegible → usable)",1,NA,ACD,The Musgrave Ritual,NA,"The clues hidden in the Musgrave Ritual document, which lead to the finding of the cellar",1,Acts alone,0,Male,No,Yes,Yes,A private client,"Police are present but with no role, or only a minor role, in helping solve the crime",NA,"Natural causes, Other",Behaviour of Rachel Howells (The second house-maid),No,No qrime → qrime,NA,"Greed, Revenge, Jealousy",NA,1,NA,Crime,Sherlock Holmes,1893-05-01 00:00:00+00:00,Journal,The Strand,Concan Doyle,Arthur,M,1893,No_qrime_to_qrime
NA,4,Miss Sutherland asks Sherlock Holmes to find the man she was supposed to marry and who mysteriously disappeared on their wedding day after making her promise to never forget him. Holmes eventually discovers that the bridegroom was Miss Sutherland’s stepfather who had created this character to keep her stepdaughter from marrying to retain access to her money.,Independent amateur,Physical clue,ASH03,Fabricated,Before the investigation,Standard,NA,"“I let you know, then, that I have caught him!”",No,NA,NA,"Testimonial evidence, Physical evidence",NA,Independent amateur,Testimonial clue,No,SK,0,"Suspected murder, Fraud",Yes,JM,No,John Watson,NA,0,"Legible but not usable (legible → not usable), Usable in real time (usable → usable), Usable only in retrospect (legible → usable), Ex post -- newly usable clue (illegible → usable)",1,NA,ACD,A Case of Identity,NA,the particularities of the typewriter,1,Acts together with one or more equal partners,1,Male,Yes,Yes,Yes,A private client,Police are not present,NA,NA,The fact that Mr.Hosmer Angel and Mr.Widibank were never at the same place at the same time.,Yes,Qrime → different qrime,NA,Greed,NA,0,Male,Quasi-crime,Sherlock Holmes,1891-09-01 00:00:00+00:00,Journal,The Strand,Concan Doyle,Arthur,M,1891,Qrime_to_different_qrime
